t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8	Student's T-test Significant Syn_Cond1_Syn_Cond2	Student's T-test significant	Student's T-test p-value Syn_Cond1_Syn_Cond2	Student's T-test q-value Syn_Cond1_Syn_Cond2	Student's T-test Difference Syn_Cond1_Syn_Cond2	Student's T-test Test statistic Syn_Cond1_Syn_Cond2	Name
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	T
#!{C:Group1}Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond2	Syn_Cond2	Syn_Cond2	Syn_Cond2	Syn_Cond2	Syn_Cond2							
18.8996753692627	17.1954364776611	15.8053464889526	16.3886260986328	15.9351253509521	17.6461563110352	16.3065128326416	18.0341873168945	19.5870399475098	16.2066440582275	17.8564949035645	16.4998817443848			0,560938019957806	0,916544308032473	-0,436732451121014	-0,601432261535621	A0AVT1
18.2823791503906	16.6809902191162	16.6442890167236	16.1774444580078	16.9516487121582	18.8641510009766	16.9697303771973	18.3768768310547	18.6009349822998	17.1657123565674	16.6065998077393	16.5214900970459			0,854357473863377	0,955199783227654	-0,106740315755207	-0,188365939412224	A5YKK6
18.2238788604736	14.2435436248779	16.1176471710205	15.646559715271	16.3602142333984	18.4284133911133	16.4185600280762	18.2208499908447	19.3873195648193	16.1230278015137	17.0275592803955	15.6787643432617			NaN	NaN	0	NaN	A6NCE7;Q9GZQ8;Q9H492
18.5042095184326	15.3730440139771	16.5005741119385	15.6860065460205	16.8578109741211	17.5404472351074	15.7966842651367	18.9134140014648	19.0234832763672	16.8934154510498	17.2575435638428	16.2901554107666			0,413830509312278	0,897696625189319	-0,618767261505127	-0,852608697223131	A6NHR9
20.2207584381104	19.7351131439209	15.6502885818481	19.9394264221191	20.1139068603516	18.1110649108887	19.6357822418213	20.903434753418	19.8281135559082	15.7048091888428	16.5411128997803	19.8247833251953			0,847615845017549	0,955069821459581	0,222087065378826	0,197207460532768	A6NL28
19.1380596160889	17.4450588226318	15.5376071929932	16.9795036315918	16.9818820953369	17.2566108703613	17.8269958496094	17.8874568939209	20.9938926696777	15.9934930801392	17.7627220153809	17.8986740112305			0,326372142877356	0,897696625189319	-0,837418715159096	-1,03202963290891	A6NMY6;P07355
17.8933238983154	19.0456581115723	15.5278978347778	19.6385974884033	19.7220764160156	17.3200340270996	16.0895042419434	18.3735179901123	19.2909927368164	17.5717887878418	19.9087734222412	16.1586399078369			0,758663339907535	0,945876363925339	0,292395114898682	0,315777452292103	A8MWD9;P62308
18.5077323913574	19.0817718505859	18.872278213501	18.964527130127	18.9037189483643	16.9689922332764	18.7788696289063	17.5577125549316	19.1369819641113	18.2215557098389	18.4271564483643	18.8072109222412			0,879857604090297	0,963702929658542	0,0615889231363944	0,155061998147956	B0I1T2
25.9670581817627	25.8829879760742	25.5645313262939	26.0614356994629	25.9739875793457	26.0639114379883	25.8046684265137	25.7920761108398	25.4548168182373	26.1913909912109	25.8566417694092	25.9653167724609			0,561094692851203	0,916544308032473	0,0748335520426444	0,60118750476686	CON__ENSEMBL:ENSBTAP00000016242;P68363;A6NHL2;Q9H853
20.7795448303223	20.8346729278564	20.4306182861328	20.5996704101563	20.7152500152588	21.5495643615723	20.9165287017822	18.4534587860107	22.5547065734863	20.8820991516113	22.0357837677002	21.2104244232178			0,757089770105802	0,945876363925339	-0,190613428751629	-0,31791367022702	CON__P02769
